knesset,session,speaker,party,role,text,subject,sub_subject
,,,,,"דברי הכנסתחוברת כ""חישיבה קל""ג",נאומים בני דקה,
,,מיקי לוי,,"היו""ר","היום כ""ג באייר התשפ""ב, 24 במאי 2022. אני מתכבד לפתוח את מליאת הכנסת.אין שר.",נאומים בני דקה,
,,בועז טופורובסקי,יש עתיד,,– – –,נאומים בני דקה,
,,מיקי לוי,,"היו""ר","טוב, בואו ננסה. אני מתנצל.",נאומים בני דקה,
,,יריב לוין,הליכוד,,אני מניח שזה איתות – – –,נאומים בני דקה,
,,מיקי לוי,,"היו""ר","נאומים בני דקה. מי שמעוניין – בבקשה, הצבעה. תמיד אני נותן לחבר הכנסת מעוז, כי אני בטוח שהוא מצביע, עד שהרשימה תומצא לידיי. בבקשה.",נאומים בני דקה,
,,בועז טופורובסקי,יש עתיד,,הנדסת תודעה 53 או 52?,נאומים בני דקה,
,,אבי מעוז,הציונות הדתית,,"53.תודה, אדוני היושב-ראש. נאום הנדסת תודעה מס' 53, והפעם – על טעמן של בננות. בשבוע שעבר, בשיחה עם תלמידי כיתה א' באלקנה, הסביר ראש הממשלה בנט שיש כאלה שמסכימים איתו ויש כאלה שלא, והמשיל דעות ליחס לבננות – יש כאלה שאוהבים ויש כאלה שלא. זוהי כמובן הנדסת תודעה, כי המשל הנכון במקרה הספציפי הזה הוא ההבדל בין היחס לבננה רגילה לבין היחס לבננה גנובה. האם יכול להיות שהבננה הגנובה תהיה יותר טעימה? יש כאלה שאצלם זה אכן כך. ולמה? אם נלמד זכות נאמר שזה בגלל שמים גנובים ימתקו. אבל לפעמים זה פשוט כי תאוות השלטון מכשירה כל מרמה, שקר, ציניות והפרת אמונים, או במילה אחת: מקיאווליזם, כלומר חוסר מצפון, מניפולטיביות, רמאות וערמומיות.אני ממליץ לבנט וחבריו לסיים בהקדם את המציאות הנוכחית המביכה והמזיקה, לעזוב את החיים הציבוריים ולהחזיר את מדינת ישראל לעם ישראל. תודה.",נאומים בני דקה,
,,מיקי לוי,,"היו""ר","תודה רבה. חברת הכנסת רון בן משה, בבקשה.",נאומים בני דקה,
,,יעל רון בן משה,כחול לבן,,– – –,נאומים בני דקה,
,,מיקי לוי,,"היו""ר",את לא מוכנה? חבר הכנסת להב.,נאומים בני דקה,
,,יוראי להב הרצנו,יש עתיד,,"אדוני היושב-ראש, חבריי חברי הכנסת, היום כאן 11 הביאו את דבריו של ראש ישיבת מצפה רמון הרב צבי קוסטינר. אני מצטט מדבריו:זה הקרב שאני אומר לכולנו, כל אחד במקום שלו, לא להתבייש. לקחת אומץ. איפה שאתה עובד תגיד: להט""בים – הביתה, הומואים – הביתה. רשע ועוד רשע. מי שיודע כמה אלימות יש שם. רשעים, רשעים. והם הולכים להכניס לכל בית את השיגעון הזה, הורה 1, הורה 2. מטורפים, אבל כולם שותקים. נילחם בכל דבר. תפקידנו בכל מקום לא להתבייש ביהדותנו, לא להתבייש. לכן הממשלה המשוגעת הזאת, הטירוף הזה, בעזרת השם, ייפול. אבל מה שאני אומר לחבר'ה: בואו נילחם, לא נדבר. אני אומר לכם תמיד, גם בצבא, גם באזרחות: מדינה יהודית, צבא יהודי, מדינת תורה.חבריי חברי הכנסת, אני יהודי, אני ישראלי, אני הומו ואני גאה בזה. אלו דברי הסתה פרועים ומסוכנים. אותו רב עושה נזק ליהדות. הוא מפלג ומשסע, הוא פוגע באנשים רק בגלל מי שהם. ב-1 ביולי אני אצעד במצפה רמון במצעד הגאווה, ואני קורא לכל בית ישראל להגיע ולצעוד יחד איתנו. האור ינצח את החושך. תודה רבה.",נאומים בני דקה,
,,מיקי לוי,,"היו""ר","תודה רבה על דבריך החשובים.אני רואה שחבר הכנסת לוין עסוק, אז אני אתן לחבר הכנסת אבוטבול. בבקשה.",נאומים בני דקה,
,,משה אבוטבול,"ש""ס",,"כבוד היושב-ראש, כנסת נכבדה, אני רואה לנכון להקריא לציבור הצופים את מכתבו של מר""ן הרב שלום כהן, ראש הישיבה פורת יוסף, נשיא מועצת חכמי התורה, שבקריאתו קריאת קודש, יחד עם מועצת חכמי התורה מחודש אייר, קורא:אל אחינו בית ישראל, השם עליהם יחיו, שלום וישע רב. הריני בא בקריאה של חיבה לעזרת השם בגיבורים לפעול ולהשפיע לכל מי שיש בכוחו, ולהצביע עבור רשימת עוגנים בראשות יושב-ראש ההסתדרות מר ארנון בר-דוד, השם יחיו וישמרו, ועימה נציגי תנועת ש""ס הקדושה בראשות הרב דני סיידה, השם יחיו וישמרו, חבר כנסת לשעבר, בבחירות הקרובות להסתדרות. רשימת עוגנים, אשר שמה לה – – –",נאומים בני דקה,
,,מיקי לוי,,"היו""ר","חבר הכנסת אבוטבול, אני רק רוצה לשאול אותך אם באמת – – –",נאומים בני דקה,
,,אזורי עיסאווי,פריג',,– – –,נאומים בני דקה,
,,מיקי לוי,,"היו""ר","לא, אני מדבר אל חבר הכנסת אבוטבול. אתה באמת רוצה להתערב בבחירות להסתדרות ממליאת הכנסת, לחוות דעה כזאת או אחרת לצד זה או אחר – – –",נאומים בני דקה,
,,משה אבוטבול,"ש""ס",,אני חושב – – –,נאומים בני דקה,
,,מיקי לוי,,"היו""ר","רק תן לי לסיים. אני הייתי ממליץ לך לחשוב פעמיים. לטעמי, לא ראוי לכנסת להתערב בבחירות במוסד אחר. בעצם הקראת המכתב הזה אתה יוצר מין התערבות. המלצתי – אני אתן לך את רשות הדיבור – תחשוב אם אתה רוצה לשבת במקומך ולחשוב מה אתה רוצה, ואני אתן לך פעם נוספת.",נאומים בני דקה,
,,משה אבוטבול,"ש""ס",,"אדוני היושב-ראש, אני חושב שחבר כנסת צריך להיות מעורה בכל דבר ציבורי שקורה במדינה.",נאומים בני דקה,
,,מיקי לוי,,"היו""ר",אני הצעתי את ההצעה.,נאומים בני דקה,
,,משה אבוטבול,"ש""ס",,"אני מקבל את ההצעה שלך, ואני מבקש, היות שהמכתב הופרע באמצע קריאתו, לתת לי את הדקה הזאת, כי אני לא צריך לשמוע את הדברים. אני מבקש לחדש לי את הדקה לקרוא את זה, כי אני סבור שהציבור בישראל צריך לדעת את כל דעותיי, מהן דעותיי. אני אומר אותן בלי להתבייש.",נאומים בני דקה,
,,מיקי לוי,,"היו""ר",אתה מתערב התערבות בוטה במהלך בחירות כאלה או אחרות. חשוב על כך שמישהו היה עושה את זה בארגון כזה או אחר.,נאומים בני דקה,
,,משה אבוטבול,"ש""ס",,כל אחד יעשה מה שהוא רוצה. אני מבחינתי אומר את עמדתי. אני אף פעם לא שמעתי דבר כזה.,נאומים בני דקה,
,,מיקי לוי,,"היו""ר","הינה, אתה יכול לשמוע את זה ממני כיושב-ראש הכנסת. אני נותן לך את זכות הדיבור, בבקשה.",נאומים בני דקה,
,,משה אבוטבול,"ש""ס",,אז אני מבקש לתת לי את זכות הדיבור ולכבד אותי ולאפשר לי את הדקה שהייתה לי. תודה רבה.,נאומים בני דקה,
,,מיקי לוי,,"היו""ר",אני מחזיר לך.,נאומים בני דקה,
,,משה אבוטבול,"ש""ס",,"כבוד היושב-ראש, כנסת נכבדה, כבוד השר, אני רוצה, ברשותכם, להקריא את מכתבו של הרב הגאון הרב שלום כהן, מרן ראש ישיבת פורת יוסף, נשיא מועצת חכמי התורה, מחודש אייר – קריאת קודש:אל אחינו בית ישראל, השם עליהם יחיו, שלום וישע רב. הריני בא בקריאה של חיבה לבוא לעזרת השם בגיבורים לפעול ולהשפיע לכל מי שיש בכוחו, ולהצביע עבור רשימת עוגנים בראשות יושב-ראש ההסתדרות מר ארנון בר-דוד, השם יחיו וישמרהו, ועימה נציגי תנועת ש""ס הקדושה בראשות הרב דני סיידה, השם יחיו וישמרו, בבחירות הקרובות להסתדרות.רשימת עוגנים, אשר שמה לה למטרה, בין היתר, לדאוג לזכויותיהם ומעמדם של העובדים בכלל ושומרי התורה והמסורת העמלים לפרנסתם בפרט, ועל אחת כמה וכמה בעת הזאת, אשר נחתם עימה הסכם אשר דואג ומשפר את תנאי מחייתם והעסקתם של אלפי העובדים והעובדות המסורים של רשת בני יוסף, מעיין החינוך התורני.והריני לברך בברכת כוהן את כל העוזרים והמסייעים למען הצלחת רשימה זו, בפרט נציגי התנועה הקדושה והפעילים בכל אתר ואתר, שחפץ השם בידם יצלח ויבורכו בכל מילי דמיטב בבריאות גופא ונהורא מעליא, באושר וכבוד ונחת מכל יוצאי חלציהם, אורך ימים ושנות חיים, אמן. בברכה, הרב שלום כהן; לצידו: הרב שמעון בעדני, הרב משה מאיה, הרב ראובן אלבז והרב דוד יוסף.והיות שהיום מתקיימות הבחירות אני קורא לכולם: רוצו להצביע – ולהשפיע – כבקשתו של מרן ראש הישיבה, לרשימת עוגנים. תודה רבה.",נאומים בני דקה,
,,מיקי לוי,,"היו""ר",חבר הכנסת טופורובסקי.,נאומים בני דקה,
,,בועז טופורובסקי,יש עתיד,,"תודה, אדוני היושב-ראש. חבריי חברות וחברי הכנסת, גם השבוע אני אקריא את שמות ההרוגים ואציין את תאונות הדרכים הקטלניות שהתרחשו בשבוע החולף. ביום רביעי, 18 במאי, נהרג רוכב אופנוע, צעיר בן 28, בכביש 70, סמוך ליישוב אבו סנאן. ביום שישי, 20 במאי, נהרגה צעירה בת 17 בתאונה רבת נפגעים בכביש 652, סמוך לפרדס חנה-כרכור. הבוקר, 24 במאי, נהרג נהג משאית בן 38 בתאונה בכביש 6, סמוך למחלף נחשונים. שלושה בני אדם נהרגו השבוע. 141 בני אדם נהרגו מתחילת השנה, ובהם 25 רוכבי אופנוע, ארבעה רוכבי אופניים וקורקינטים חשמליים ושלושה רוכבי אופניים.אני מציין את הנתונים האלה בגלל שהיום בבוקר קיימנו דיון בוועדת המשנה לבטיחות בדרכים בכל מה שקשור לשליחים שנוסעים באופניים חשמליים או קורקינטים או קטנועים כאלה ואחרים ברחבי העיר, והפכו לתופעה שמצד אחד היא מבורכת, כי היא מנגישה עסקים לצרכנים, אבל מצד שני היא קצת מסוכנת בדרכים ודורשת איזושהי התייחסות. קיבלנו תשובות חלקיות. יש לנו עוד הרבה מה לעשות, אבל גם כאן אנחנו לא נוותר עד שאנחנו נמנע סיכונים מיותרים בדרכים. אנא, אני מבקש מכולם, סעו בזהירות. תודה.",נאומים בני דקה,
,,מיקי לוי,,"היו""ר","תודה רבה. חברת הכנסת רון בן משה, בבקשה.",נאומים בני דקה,
,,יעל רון בן משה,כחול לבן,,"תודה רבה, אדוני היושב בראש. חבריי חברי הכנסת, אתמול תושבי הערבה התבשרו על שדרוג מערך הרפואה הדחופה באזור, תוספת משמרת שלישית וכן שירות אמבולנס וצוות מד""א בערבי חג ובימי סוף השבוע, כך שהערבה תהיה מכוסה סוף-סוף 24 שעות ביממה, שבעה ימים בשבוע, בשירותי אמבולנס מצילי חיים.אני מודה לשר הבריאות ולמשרד הבריאות, למד""א ולמנכ""ל מד""א אלי בין, לראש המועצה האזורית הערבה התיכונה מאיר צור ולתושבים שדחפו קדימה – לאורית אביב, שפנתה אלינו פה בכנסת לוועדה לפניות הציבור, לנדב איילון, מזכיר מושב חצבה, מתנדב מד""א מסור, לשעבר קב""ט המועצה, ולאיש מד""א באזור אלי שריקי. הם הכוח המניע, ביחד עם בעלי התפקידים במועצה האזורית, שפועלים בנושא כבר למעלה משש שנים.אני ליוויתי את התהליך בוועדה לפניות הציבור בעקבות פניות שהגיעו אלינו לוועדה גם מהערבה, גם מהגולן, גם מהגליל. בשל המאפיינים הייחודיים של הערבה נדרשות התאמות ייחודיות למרחב הזה גם בשירותים מצילי החיים. תושבים בערבה מרוחקים מרחק של שעה וחצי מבית חולים קרוב. הצעד הזה של תוספת האמבולנס והמשמרות הוא משמעותי ומשמח אבל הוא רק ההתחלה. גם הגולן והגליל נדרשים למענים ייחודיים בתחום הצלת החיים. בישיבת הוועדה לפני שבוע הנחיתי את משרד הבריאות להגיש עד סוף שנת העבודה הנוכחית, סוף שנת 2022, עדכון של לוחות הזמנים ליצירת תוכנית לפריסת נקודות ההזנקה של האמבולנסים, בדגש על ניידות לטיפול נמרץ, ודרשתי שהתוכנית המלאה תוגש לוועדה תוך התייחסות לביטוי התקציבי כבר בתקציב המדינה הקרוב לשנת 2023. תודה רבה.",נאומים בני דקה,
,,מיקי לוי,,"היו""ר","תודה רבה. חבר הכנסת לוין, אתה אחרון, אין לי ברירה, פשוט. דחיתי ודחיתי כי הוא היה עסוק בשיחה. בבקשה.",נאומים בני דקה,
,,יריב לוין,הליכוד,,"תודה, אדוני היושב-ראש. כבוד השר, חברות וחברי הכנסת, אני מבקש להעלות כאן נושא שאולי הוא הנושא הכי חשוב שבא לפתחנו בקרוב – ולמרות העוצמה האדירה שמתקרבת אלינו הוא לא קיים כמעט בשיח, ואני בטוח שהדבר הזה ישתנה, לצערי הרב, מהר מאוד – והוא הצונאמי הכלכלי האדיר שמתקרב לכאן.אדוני היושב-ראש, אתה בקיא מאוד בנושא הזה. אנחנו רואים את הנתונים של כ-10% אינפלציה שנתית בבריטניה כבר עכשיו, 8% בארצות הברית, עליית מחירים דרמטית, מחסור הולך וגדל למשל בתבואה – וצריך להבין שכשחסרה תבואה זה מתורגם למחסור אחר כך בעופות ובבשר ולעליית מחירים גבוהה – והרשימה בנושא הזה היא כמובן ארוכה מאוד. האירוע הזה מתקרב אלינו במהירות אדירה.צריך לומר שאנחנו עוד לא מרגישים אותו במלוא העוצמה בזכות העובדה שהוצאנו את הגז מהמים, ולכן לפחות בתחום האנרגיה עליות המחירים הן לא בעוצמות שהיינו חווים אלמלא הדבר הזה. אני חושב שהממשלה חייבת, חייבת להיערך ולנקוט צעדים עכשיו, לפני שנימצא במשבר דרמטי. ולצערי הרב, לא רק שלא ננקטים צעדים, אני גם לא רואה שמישהו בכלל משקיע בעניין הזה מחשבה או נותן לו תשומת לב. כל תשומת הלב מופנית לצערי לכל מיני עניינים אחרים, כפי שראינו אתמול בוועדת הכספים.אני קורא מכאן לממשלה להתעשת. יש פעולות שאם לא תינקטנה עכשיו, מבעוד מועד, לעשות אותן אחר כך יהיה מאוד קשה, ואת המחיר, לצערי הרב, ישלמו כלל אזרחי ישראל.",נאומים בני דקה,
,,מיקי לוי,,"היו""ר","תודה רבה על הדברים החשובים. אני מבקש להצטרף. המשבר הזה, שחלקו לפחות בעקבות המלחמה באוקראינה – משבר החיטה, התבואה, השעורה – יביא למשבר חלבונים. לא יהיה אוכל להאכיל את בעלי החיים, ואז זה יפגע גם בתוצרים של חלב ותוצרים של חלבונים מן החי עבור מי שזקוק לכך. המשבר שמידפק על דלתנו הוא משבר ענק, וראוי לה למדינת ישראל שתכין עצמה מבעוד מועד כדי לצבור תבואה, כדי לסגור עם ספקים, כדי לסגור עם ספקי שמן ועם כל מה שקשור בכך.משבר החלבונים המידפק על דלתנו הוא לא משבר כלכלי, הוא משבר קיומי עצום, רחב ממדים, בגלל שיש פגיעה ממשית בכל נושא התבואה העולמי. לצערי, איני איש בשורות. זה עלול להיות משבר כלל-עולמי. כולי תפילה שאנחנו נעשה את כל המהלכים המתאימים כדי שלפחות או שהוא ידלג על עלינו, או שאנחנו נחווה את זה בצורה הרבה פחות קשה. חלבונים, חלבונים, חלבונים, זה כרגע שם המשחק. תוצרים – – –",נאומים בני דקה,
,,יעל רון בן משה,כחול לבן,,– – –,נאומים בני דקה,
,,מיקי לוי,,"היו""ר","הלוואי. אם הייתי ממקום מושבי – יושב פה יושב-ראש הכנסת, קודמי בתפקיד. זה לא נתון לשיקולנו, אבל אני אומר מכאן לממשלה, לשר עיסאווי פריג', בעקבות מה שאמר חבר הכנסת לוין ומה שאני הוספתי בנושא התבואה, המשבר העולמי, המלחמה באוקראינה: 40% מהתבואה האירופית זה אוקראינה. זה לא דבר של מה בכך. זה אומר שכל בעלי החיים יחוו, חס וחלילה, רעב, ואז זה יפגע גם בחלבונים עצמם, במשק החלב, והשרשרת הזו היא בלתי נגמרת. ההערה שלך היא סופר-נכונה. אני הצטרפתי רק לדברים שאמרת, ניצלתי את ההזדמנות. תודה רבה לך.",ציון יום המודעות לבריאות הלב,
,,מיקי לוי,,"היו""ר","אנחנו ממשיכים בסדר-היום. ציון ימים מיוחדים – ציון יום המודעות לבריאות הלב, הצעות לסדר-היום מס' 2465, 2546 ו-2553. נאומים. חבר הכנסת זאב בנימין בגין, בבקשה.",ציון יום המודעות לבריאות הלב,
