session,party,count,note_count,non_letter_note_count
127,no party,1,19,5
127,הליכוד,94,3667,812
127,העבודה,21,2171,377
127,הציונות הדתית,2,679,159
127,הרשימה המשותפת,11,2037,449
127,יהדות התורה,6,2303,434
127,ימינה,1,414,97
127,יש עתיד,50,4698,1003
127,ישראל ביתנו,14,3002,524
127,כחול לבן,17,1310,267
127,מרצ,19,1582,329
127,"ש""ס",17,1829,345
127,תקווה חדשה,7,1791,297
128,no party,18,2663,105
128,unknown speaker,84,298,37
128,הליכוד,375,14785,2971
128,העבודה,67,1626,311
128,הציונות הדתית,95,3952,806
128,הרשימה המשותפת,67,1179,214
128,יהדות התורה,67,4203,831
128,ימינה,6,1449,276
128,יש עתיד,250,9156,1853
128,ישראל ביתנו,277,8546,1843
128,כחול לבן,107,2185,514
128,מרצ,124,3369,822
128,"ש""ס",85,3540,698
128,תקווה חדשה,166,10279,1906
129,no party,8,2097,250
129,unknown speaker,100,331,33
129,הליכוד,632,18887,4107
129,העבודה,26,271,52
129,הציונות הדתית,120,6470,1329
129,הרשימה המשותפת,62,3216,631
129,הרשימה הערבית המאוחדת,111,1210,363
129,יהדות התורה,66,3852,876
129,ימינה,103,1972,399
129,יש עתיד,62,2366,504
129,ישראל ביתנו,170,4596,1167
129,כחול לבן,48,1216,322
129,מרצ,14,497,87
129,"ש""ס",221,6957,1550
129,תקווה חדשה,215,4608,999
130,no party,1,48,15
130,unknown speaker,1,3,0
130,הליכוד,1,421,85
130,הציונות הדתית,2,509,121
130,הרשימה המשותפת,2,538,80
130,יש עתיד,37,3486,725
130,ישראל ביתנו,1,584,122
130,כחול לבן,15,799,176
130,מרצ,3,455,77
130,"ש""ס",8,1903,354
131,unknown speaker,10,38,2
131,הליכוד,90,3662,653
131,העבודה,6,119,20
131,הציונות הדתית,23,930,163
131,הרשימה המשותפת,60,1922,398
131,הרשימה הערבית המאוחדת,3,316,58
131,יהדות התורה,37,2165,424
131,ימינה,15,1191,171
131,יש עתיד,59,1092,213
131,ישראל ביתנו,231,4438,1190
131,כחול לבן,15,1039,187
131,מרצ,25,1646,312
131,"ש""ס",4,458,91
131,תקווה חדשה,52,2932,498
132,no party,11,3080,722
132,unknown speaker,60,285,44
132,הליכוד,718,23314,5398
132,העבודה,17,86,17
132,הציונות הדתית,95,11163,2307
132,הרשימה המשותפת,106,2780,613
132,יהדות התורה,70,4216,927
132,יש עתיד,235,4393,966
132,ישראל ביתנו,285,6646,1647
132,כחול לבן,81,1829,381
132,מרצ,144,5175,1011
132,"ש""ס",188,4767,1135
132,תקווה חדשה,120,1484,393
133,no party,1,462,73
133,הליכוד,2,216,37
133,הציונות הדתית,1,133,29
133,יהדות התורה,1,779,139
133,יש עתיד,29,896,244
133,כחול לבן,4,230,44
133,מרצ,5,1149,216
133,"ש""ס",7,414,86
133,תקווה חדשה,1,566,128
134,no party,42,7350,206
134,unknown speaker,73,295,49
134,הליכוד,437,13112,2781
134,העבודה,41,1562,227
134,הציונות הדתית,64,4692,924
134,הרשימה המשותפת,99,2374,505
134,הרשימה הערבית המאוחדת,63,1355,393
134,יהדות התורה,79,3567,642
134,ימינה,37,1581,283
134,יש עתיד,94,4159,891
134,ישראל ביתנו,76,2008,499
134,כחול לבן,117,2714,643
134,מרצ,143,5098,1079
134,"ש""ס",113,4403,926
134,תקווה חדשה,248,7351,1555
135,no party,14,3317,362
135,unknown speaker,8,39,6
135,הליכוד,232,9523,2236
135,העבודה,10,1984,262
135,הציונות הדתית,63,4214,818
135,הרשימה המשותפת,65,4191,872
135,הרשימה הערבית המאוחדת,6,54,11
135,יהדות התורה,44,4816,989
135,ימינה,35,2271,543
135,יש עתיד,192,4153,941
135,ישראל ביתנו,131,2884,730
135,כחול לבן,86,2661,599
135,מרצ,2,695,137
135,"ש""ס",106,4005,869
135,תקווה חדשה,35,4560,682
136,no party,1,29,9
136,unknown speaker,2,7,1
136,הליכוד,63,2335,511
136,הציונות הדתית,1,134,23
136,הרשימה המשותפת,18,1254,274
136,ימינה,3,305,62
136,יש עתיד,86,2641,624
136,ישראל ביתנו,43,1755,375
136,כחול לבן,23,1289,282
136,מרצ,22,1750,335
136,"ש""ס",49,3732,701
136,תקווה חדשה,7,1856,322
137,no party,65,9272,190
137,unknown speaker,153,580,51
137,הליכוד,643,13832,3199
137,העבודה,123,6675,1177
137,הציונות הדתית,126,3317,706
137,הרשימה המשותפת,298,4254,1089
137,הרשימה הערבית המאוחדת,108,2337,621
137,יהדות התורה,75,6301,1192
137,ימינה,47,3478,604
137,יש עתיד,442,10814,2524
137,ישראל ביתנו,15,1490,251
137,כחול לבן,68,3717,687
137,מרצ,31,1553,296
137,"ש""ס",120,5107,992
137,תקווה חדשה,98,2490,537
138,no party,20,3892,500
138,unknown speaker,123,580,108
138,הליכוד,441,15106,3124
138,העבודה,7,409,70
138,הציונות הדתית,58,6109,1225
138,הרשימה המשותפת,87,3939,863
138,הרשימה הערבית המאוחדת,2,8,4
138,יהדות התורה,162,7939,1745
138,ימינה,12,585,107
138,יש עתיד,46,2659,540
138,ישראל ביתנו,113,4760,1085
138,כחול לבן,300,4123,1245
138,מרצ,124,2930,728
138,"ש""ס",145,7722,1585
138,תקווה חדשה,279,5894,1152
